Камчатский_край;Камчатский край;Камчатский край;311;26;97;268;23;84;236;14;74;199;11;62;164;5;51;145;5;45;106;1;32;82;0;25;71;0;21;63;;18;51;0;15;48;0;13;36;0;10;32;0;9;19;0;5;12;0;3;7;0;2;3;0;1;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская_Республика;Карачаево-Черкесия;Карачаево-Черкесская Республика;301;54;64;255;49;54;211;46;44;189;42;40;170;30;36;148;25;31;115;17;25;82;9;18;73;9;16;59;;13;40;5;9;34;4;8;27;4;6;18;3;4;12;2;3;8;1;2;3;1;1;3;1;1;3;1;1;3;1;1;3;1;1
Кемеровская_область;Кемеровская область;Кемеровская область;43106;7300;1577;36687;6577;1338;29236;4814;1063;24395;4386;883;20295;3163;732;15981;165;576;12301;140;442;9357;130;336;8639;124;308;7727;;273;6677;119;233;5887;118;203;5147;117;176;3877;112;132;1655;71;56;76;12;3;19;7;1;6;4;0;4;2;0;3;2;0;3;2;0
Кировская_область;Кировская область;Кировская область;1085;130;83;908;125;69;708;99;53;638;95;48;529;64;39;438;48;32;368;29;27;294;22;21;253;19;18;211;;15;178;13;12;151;12;10;122;11;8;92;10;6;43;5;3;19;2;1;15;2;1;11;2;1;9;2;1;5;0;0;3;0;0
Костромская_область;Костромская область;Костромская область;2299;262;350;2115;258;321;1933;256;292;1785;165;268;1637;163;243;1473;164;217;1302;76;191;1105;73;160;1038;72;148;897;;126;785;36;109;666;35;91;526;32;71;276;20;37;33;6;4;16;4;2;13;4;2;6;3;1;3;3;0;3;3;0;3;3;0
Краснодарский_край;Краснодарский край;Краснодарский край;14841;3992;275;13430;3897;252;11691;3231;221;10492;3231;201;9416;2731;181;8439;2441;162;7496;1900;145;6535;1527;127;5965;1524;116;5399;;105;4691;56;92;4148;47;81;3706;44;72;3177;42;62;2671;39;52;2154;33;42;1612;26;31;1060;24;21;333;16;7;29;8;1;25;7;1
Красноярский_край;Красноярский край;Красноярский край;21209;2849;743;18066;2555;635;15177;1926;535;13537;1714;478;11842;1289;418;10371;165;366;8968;91;316;7141;73;251;6664;71;232;6049;;208;5417;66;185;4946;66;167;4261;63;143;3245;56;108;931;33;31;185;15;6;39;7;1;17;3;1;3;0;0;2;0;0;1;0;0
Курганская_область;Курганская область;Курганская область;6094;933;695;5411;871;611;4203;686;469;3708;597;408;2961;494;322;2594;405;280;2187;10;234;1939;11;205;1858;10;193;1692;;172;1505;9;151;1307;7;129;1131;7;110;785;7;75;138;1;13;8;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Курская_область;Курская область;Курская область;1151;160;103;1013;134;91;830;104;74;739;96;66;638;42;56;571;36;50;546;26;47;404;18;35;331;16;28;269;;22;171;4;14;121;4;10;95;2;8;68;2;5;37;0;3;13;0;1;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Ленинградская_область;Ленинградская область;Ленинградская область;23230;2515;1317;21930;2504;1252;21088;1824;1216;20119;1820;1171;18735;1055;1099;17041;1039;1003;14992;359;886;12293;336;727;10978;291;651;9643;;573;8271;273;494;6828;254;410;5234;209;313;3382;157;201;1218;69;72;121;14;7;28;5;2;20;5;1;13;3;1;11;3;1;9;3;1
Липецкая_область;Липецкая область;Липецкая область;1179;171;102;719;132;62;604;102;52;543;91;46;464;73;39;406;63;34;339;38;29;247;18;21;221;18;19;180;;15;111;9;9;86;7;7;68;6;6;48;5;4;27;4;2;15;4;1;5;2;0;5;2;0;2;1;0;2;1;0;2;1;0
Магаданская_область;Магаданская область;Магаданская область;340;11;226;258;11;169;167;11;108;131;11;84;117;6;74;111;5;69;105;5;64;86;4;52;79;4;46;66;;38;59;4;33;48;3;26;38;2;20;28;2;14;24;2;12;17;2;8;9;2;4;5;2;2;4;1;2;1;1;0;0;0;0
